text,entities,type
"Mohit Chawla transferred funds to DM Trading Services, while R K Sharma contacted Prime Warehousing.","[[0, 12, ""PERSON""], [34, 53, ""ORG""], [61, 71, ""PERSON""], [82, 99, ""ORG""]]",complex
The FIR contained references to Priya Nair and National Freight Corporation.,"[[32, 42, ""PERSON""], [47, 75, ""ORG""]]",contrastive_negative
A payment was made to Shakti Traders.,"[[22, 36, ""ORG""]]",org_context
Priya Nair transferred money to Metro Logistics Pvt Ltd from Nagpur.,"[[0, 10, ""PERSON""], [32, 55, ""ORG""], [61, 67, ""GPE""]]",multi_entity
Dev Malhotra worked with Western Freight Solutions in Surat.,"[[0, 12, ""PERSON""], [25, 50, ""ORG""], [54, 59, ""GPE""]]",multi_entity
Entries in the evidence log were compared with bank transactions.,[],hard_negative
Dev Malhotra travelled from Jaipur to Lucknow with Ananya Sharma.,"[[0, 12, ""PERSON""], [28, 34, ""GPE""], [38, 45, ""GPE""], [51, 64, ""PERSON""]]",complex
Investigators collected the incident report for further examination.,[],hard_negative
Investigators compared the Location Surveillance Record with records from Prime Warehousing.,"[[74, 91, ""ORG""]]",contrastive_negative
No useful information was found in the control room log.,[],hard_negative
Rajiv Bansal and R K Sharma met representatives of Western Freight Solutions in Indore.,"[[0, 12, ""PERSON""], [17, 27, ""PERSON""], [51, 76, ""ORG""], [80, 86, ""GPE""]]",complex
Nova Components maintained an office in Ahmedabad.,"[[0, 15, ""ORG""], [40, 49, ""GPE""]]",org_context
Nova Components operates a warehouse in Nagpur.,"[[0, 15, ""ORG""], [40, 46, ""GPE""]]",multi_entity
Shakti Traders operates a warehouse in Navi Mumbai.,"[[0, 14, ""ORG""], [39, 50, ""GPE""]]",multi_entity
Vikram Joshi worked with Maharashtra State Bank in Surat.,"[[0, 12, ""PERSON""], [25, 47, ""ORG""], [51, 56, ""GPE""]]",multi_entity
Funds moved from an account linked to Md. Arif Khan into BlueLine Transport.,"[[38, 51, ""PERSON""], [57, 75, ""ORG""]]",multi_entity
Neeraj Shah met an employee of Western Freight Solutions near Vashi Sector 17.,"[[0, 11, ""PERSON""], [31, 56, ""ORG""], [62, 77, ""LOC""]]",multi_entity
Sameer Khan was observed outside National Freight Corporation in Pune.,"[[0, 11, ""PERSON""], [33, 61, ""ORG""], [65, 69, ""GPE""]]",multi_entity
No useful information was found in the CCTV records.,[],hard_negative
"According to the crime scene report, Neeraj Shah visited National Freight Corporation in Lucknow.","[[37, 48, ""PERSON""], [57, 85, ""ORG""], [89, 96, ""GPE""]]",contrastive_negative
Nova Components operates a warehouse in Chennai.,"[[0, 15, ""ORG""], [40, 47, ""GPE""]]",multi_entity
The vehicle associated with Neeraj Shah was found near Eastern Express Highway.,"[[28, 39, ""PERSON""], [55, 78, ""LOC""]]",multi_entity
The suspect travelled from Navi Mumbai to Jaipur.,"[[27, 38, ""GPE""], [42, 48, ""GPE""]]",location_context
BlueLine Transport maintained an office in Surat.,"[[0, 18, ""ORG""], [43, 48, ""GPE""]]",org_context
"According to the police report, Dev Malhotra visited Apex Distributors in Chennai.","[[32, 44, ""PERSON""], [53, 70, ""ORG""], [74, 81, ""GPE""]]",contrastive_negative
The surveillance records contained references to Karan Sethi and Metro Logistics Pvt Ltd.,"[[49, 60, ""PERSON""], [65, 88, ""ORG""]]",contrastive_negative
Funds moved from an account linked to Vikram Joshi into DM Trading Services.,"[[38, 50, ""PERSON""], [56, 75, ""ORG""]]",multi_entity
The incident occurred in Kochi.,"[[25, 30, ""GPE""]]",location_context
"The CCTV records mentioned Md. Arif Khan, Rajiv Bansal, and Maharashtra State Bank.","[[27, 40, ""PERSON""], [42, 54, ""PERSON""], [60, 82, ""ORG""]]",complex
Nova Components submitted invoices from its Nagpur office.,"[[0, 15, ""ORG""], [44, 50, ""GPE""]]",multi_entity
Arjun Patel transferred money to KS Electronics from Jaipur.,"[[0, 11, ""PERSON""], [33, 47, ""ORG""], [53, 59, ""GPE""]]",multi_entity
Arjun Patel worked with KS Electronics in Lucknow.,"[[0, 11, ""PERSON""], [24, 38, ""ORG""], [42, 49, ""GPE""]]",multi_entity
Karan Sethi met an employee of Western Freight Solutions near Vashi Sector 17.,"[[0, 11, ""PERSON""], [31, 56, ""ORG""], [62, 77, ""LOC""]]",multi_entity
Funds moved from an account linked to Mohit Chawla into Nova Components.,"[[38, 50, ""PERSON""], [56, 71, ""ORG""]]",multi_entity
"The evidence log mentioned Rohan Mehta, Dev Malhotra, and Metro Logistics Pvt Ltd.","[[27, 38, ""PERSON""], [40, 52, ""PERSON""], [58, 81, ""ORG""]]",complex
The CCTV records showed that Karan Sethi had contacted Maharashtra State Bank.,"[[29, 40, ""PERSON""], [55, 77, ""ORG""]]",contrastive_negative
The FIR record showed that Ananya Sharma had contacted KS Electronics.,"[[27, 40, ""PERSON""], [55, 69, ""ORG""]]",contrastive_negative
Ayesha Khan travelled from Indore to Bengaluru with Mohit Chawla.,"[[0, 11, ""PERSON""], [27, 33, ""GPE""], [37, 46, ""GPE""], [52, 64, ""PERSON""]]",complex
Prime Warehousing submitted invoices from its Thane office.,"[[0, 17, ""ORG""], [46, 51, ""GPE""]]",multi_entity
Karan Sethi met an employee of Shakti Traders near Mumbai-Pune Expressway.,"[[0, 11, ""PERSON""], [31, 45, ""ORG""], [51, 73, ""LOC""]]",multi_entity
"According to the investigation report, Rohan Mehta visited Nova Components in Pune.","[[39, 50, ""PERSON""], [59, 74, ""ORG""], [78, 82, ""GPE""]]",contrastive_negative
Investigators collected the crime scene report for further examination.,[],hard_negative
Investigators compared the financial records with records from Metro Logistics Pvt Ltd.,"[[63, 86, ""ORG""]]",contrastive_negative
Neeraj Shah transferred money to BlueLine Transport from Navi Mumbai.,"[[0, 11, ""PERSON""], [33, 51, ""ORG""], [57, 68, ""GPE""]]",multi_entity
The vehicle associated with R K Sharma was found near Mumbai-Pune Expressway.,"[[28, 38, ""PERSON""], [54, 76, ""LOC""]]",multi_entity
Sameer Khan worked with BlueLine Transport in Kochi.,"[[0, 11, ""PERSON""], [24, 42, ""ORG""], [46, 51, ""GPE""]]",multi_entity
The police report was reviewed by the investigating officer.,[],hard_negative
R K Sharma was observed outside Metro Logistics Pvt Ltd in Ahmedabad.,"[[0, 10, ""PERSON""], [32, 55, ""ORG""], [59, 68, ""GPE""]]",multi_entity
Neeraj Shah appeared in the FIR.,"[[0, 11, ""PERSON""]]",hard_negative
Nova Components was named in the CCTV record reviewed by investigators.,"[[0, 15, ""ORG""]]",contrastive_negative
"The surveillance record mentioned Karan Sethi, Imran Sheikh, and Apex Distributors.","[[34, 45, ""PERSON""], [47, 59, ""PERSON""], [65, 82, ""ORG""]]",complex
Police located Dev Malhotra near Dharavi.,"[[15, 27, ""PERSON""], [33, 40, ""LOC""]]",multi_entity
Ravi Deshmukh was observed outside Apex Distributors in Indore.,"[[0, 13, ""PERSON""], [35, 52, ""ORG""], [56, 62, ""GPE""]]",multi_entity
The team reviewed the financial records before questioning Rajiv Bansal.,"[[59, 71, ""PERSON""]]",hard_negative
DM Trading Services submitted invoices from its Jaipur office.,"[[0, 19, ""ORG""], [48, 54, ""GPE""]]",multi_entity
Karan Sethi was observed outside Western Freight Solutions in Bengaluru.,"[[0, 11, ""PERSON""], [33, 58, ""ORG""], [62, 71, ""GPE""]]",multi_entity
Neeraj Shah was seen entering Bhiwandi Distribution Hub.,"[[0, 11, ""PERSON""], [30, 55, ""FAC""]]",facility_context
The CCTV footage mentioned S. Iyer.,"[[27, 34, ""PERSON""]]",hard_negative
Suresh Iyer and R K Sharma met representatives of City Cargo Services in Thane.,"[[0, 11, ""PERSON""], [16, 26, ""PERSON""], [50, 69, ""ORG""], [73, 78, ""GPE""]]",complex
Investigators compared the Case File with records from Apex Distributors.,"[[55, 72, ""ORG""]]",contrastive_negative
Md. Arif Khan was observed outside Prime Warehousing in Lucknow.,"[[0, 13, ""PERSON""], [35, 52, ""ORG""], [56, 63, ""GPE""]]",multi_entity
Investigators compared the CDR records with records from Maharashtra State Bank.,"[[57, 79, ""ORG""]]",contrastive_negative
The financial records contained references to Suresh Iyer and Shakti Traders.,"[[46, 57, ""PERSON""], [62, 76, ""ORG""]]",contrastive_negative
The financial records contained references to Neeraj Shah and City Cargo Services.,"[[46, 57, ""PERSON""], [62, 81, ""ORG""]]",contrastive_negative
KS Electronics operates a warehouse in Thane.,"[[0, 14, ""ORG""], [39, 44, ""GPE""]]",multi_entity
Prime Warehousing maintained an office in Mumbai.,"[[0, 17, ""ORG""], [42, 48, ""GPE""]]",org_context
Rajiv Bansal worked with Nova Components in Chennai.,"[[0, 12, ""PERSON""], [25, 40, ""ORG""], [44, 51, ""GPE""]]",multi_entity
Maharashtra State Bank supplied invoices to investigators.,"[[0, 22, ""ORG""]]",org_context
Shakti Traders operates a warehouse in Chennai.,"[[0, 14, ""ORG""], [39, 46, ""GPE""]]",multi_entity
Karan Sethi was observed outside Metro Logistics Pvt Ltd in Indore.,"[[0, 11, ""PERSON""], [33, 56, ""ORG""], [60, 66, ""GPE""]]",multi_entity
"According to the vehicle movement record, R K Sharma visited Maharashtra State Bank in Bengaluru.","[[42, 52, ""PERSON""], [61, 83, ""ORG""], [87, 96, ""GPE""]]",contrastive_negative
Western Freight Solutions was named in the FIR record reviewed by investigators.,"[[0, 25, ""ORG""]]",contrastive_negative
The directors of Metro Logistics Pvt Ltd were questioned.,"[[17, 40, ""ORG""]]",org_context
Investigators collected the FIR for further examination.,[],hard_negative
The Call Detail Records showed that Arjun Patel had contacted National Freight Corporation.,"[[36, 47, ""PERSON""], [62, 90, ""ORG""]]",contrastive_negative
A payment was made to Prime Warehousing.,"[[22, 39, ""ORG""]]",org_context
Rajiv Bansal appeared in the seizure memo.,"[[0, 12, ""PERSON""]]",hard_negative
Western Freight Solutions operates a warehouse in Indore.,"[[0, 25, ""ORG""], [50, 56, ""GPE""]]",multi_entity
No useful information was found in the crime scene report.,[],hard_negative
The team reviewed the station diary entry before questioning Priya Nair.,"[[61, 71, ""PERSON""]]",hard_negative
The surveillance record showed that Karan Sethi had contacted BlueLine Transport.,"[[36, 47, ""PERSON""], [62, 80, ""ORG""]]",contrastive_negative
Mohammed Arif Khan appeared in the witness statement.,"[[0, 18, ""PERSON""]]",hard_negative
Ayesha Khan worked with KS Electronics in Nagpur.,"[[0, 11, ""PERSON""], [24, 38, ""ORG""], [42, 48, ""GPE""]]",multi_entity
Ravi Deshmukh was seen entering Bhiwandi Distribution Hub.,"[[0, 13, ""PERSON""], [32, 57, ""FAC""]]",facility_context
Investigators compared the station diary entry with records from Metro Logistics Pvt Ltd.,"[[65, 88, ""ORG""]]",contrastive_negative
Police located Mohit Chawla near Powai Lake Road.,"[[15, 27, ""PERSON""], [33, 48, ""LOC""]]",multi_entity
Officers searched the area around Eastern Express Highway.,"[[34, 57, ""LOC""]]",location_context
"Vikram Joshi transferred funds to Western Freight Solutions, while Dev Malhotra contacted DM Trading Services.","[[0, 12, ""PERSON""], [34, 59, ""ORG""], [67, 79, ""PERSON""], [90, 109, ""ORG""]]",complex
The bank records showed that M. A. Khan had contacted Prime Warehousing.,"[[29, 39, ""PERSON""], [54, 71, ""ORG""]]",contrastive_negative
Western Freight Solutions rented space at Turbhe Warehouse No. 4.,"[[0, 25, ""ORG""], [42, 64, ""FAC""]]",facility_context
The control room log contained references to Karan Sethi and DM Trading Services.,"[[45, 56, ""PERSON""], [61, 80, ""ORG""]]",contrastive_negative
Entries in the Location Surveillance Records were compared with bank transactions.,[],hard_negative
Arjun Patel appeared in the Location Surveillance Record.,"[[0, 11, ""PERSON""]]",hard_negative
Investigators traced the shipment from Indore to Powai Lake Road.,"[[39, 45, ""GPE""], [49, 64, ""LOC""]]",multi_entity
The forensic report contained references to Arjun Patel and Prime Warehousing.,"[[44, 55, ""PERSON""], [60, 77, ""ORG""]]",contrastive_negative
Investigators collected the mobile extraction report for further examination.,[],hard_negative
Suresh Iyer was seen entering Vashi Logistics Yard.,"[[0, 11, ""PERSON""], [30, 50, ""FAC""]]",facility_context
Sameer Khan transferred money to Apex Distributors from Bengaluru.,"[[0, 11, ""PERSON""], [33, 50, ""ORG""], [56, 65, ""GPE""]]",multi_entity
Priya Nair and Sameer Khan met representatives of Metro Logistics Pvt Ltd in Pune.,"[[0, 10, ""PERSON""], [15, 26, ""PERSON""], [50, 73, ""ORG""], [77, 81, ""GPE""]]",complex
The CCTV record contained references to R K Sharma and BlueLine Transport.,"[[40, 50, ""PERSON""], [55, 73, ""ORG""]]",contrastive_negative
Neeraj Shah was observed outside Apex Distributors in Lucknow.,"[[0, 11, ""PERSON""], [33, 50, ""ORG""], [54, 61, ""GPE""]]",multi_entity
The CCTV records was linked to an incident in Indore.,"[[46, 52, ""GPE""]]",hard_negative
The CDR records contained references to Rajiv Bansal and Nova Components.,"[[40, 52, ""PERSON""], [57, 72, ""ORG""]]",contrastive_negative
Suresh Iyer was seen entering Sector 19 Storage Depot.,"[[0, 11, ""PERSON""], [30, 53, ""FAC""]]",facility_context
The team reviewed the vehicle movement record before questioning Sameer Khan.,"[[65, 76, ""PERSON""]]",hard_negative
The suspect travelled from Hyderabad to Lucknow.,"[[27, 36, ""GPE""], [40, 47, ""GPE""]]",location_context
Investigators traced the shipment from Bengaluru to Eastern Express Highway.,"[[39, 48, ""GPE""], [52, 75, ""LOC""]]",multi_entity
Rajiv Bansal travelled from Delhi to Lucknow with Imran Sheikh.,"[[0, 12, ""PERSON""], [28, 33, ""GPE""], [37, 44, ""GPE""], [50, 62, ""PERSON""]]",complex
Sameer Khan was observed outside Prime Warehousing in Thane.,"[[0, 11, ""PERSON""], [33, 50, ""ORG""], [54, 59, ""GPE""]]",multi_entity
Ananya Sharma appeared in the forensic report.,"[[0, 13, ""PERSON""]]",hard_negative
Sameer Khan transferred money to DM Trading Services from Jaipur.,"[[0, 11, ""PERSON""], [33, 52, ""ORG""], [58, 64, ""GPE""]]",multi_entity
Shakti Traders submitted invoices from its Surat office.,"[[0, 14, ""ORG""], [43, 48, ""GPE""]]",multi_entity
"The police report mentioned M. A. Khan, Ananya Sharma, and Apex Distributors.","[[28, 38, ""PERSON""], [40, 53, ""PERSON""], [59, 76, ""ORG""]]",complex
The seizure memo was linked to an incident in Delhi.,"[[46, 51, ""GPE""]]",hard_negative
Dev Malhotra and Ravi Deshmukh met representatives of Maharashtra State Bank in Jaipur.,"[[0, 12, ""PERSON""], [17, 30, ""PERSON""], [54, 76, ""ORG""], [80, 86, ""GPE""]]",complex
Suresh Iyer travelled from Chennai to Nagpur with Mohit Chawla.,"[[0, 11, ""PERSON""], [27, 34, ""GPE""], [38, 44, ""GPE""], [50, 62, ""PERSON""]]",complex
The witness statement contained references to Md. Arif Khan and BlueLine Transport.,"[[46, 59, ""PERSON""], [64, 82, ""ORG""]]",contrastive_negative
Nova Components supplied invoices to investigators.,"[[0, 15, ""ORG""]]",org_context
Funds moved from an account linked to Neeraj Shah into Shakti Traders.,"[[38, 49, ""PERSON""], [55, 69, ""ORG""]]",multi_entity
"According to the arrest memo, Rohan Mehta visited City Cargo Services in Indore.","[[30, 41, ""PERSON""], [50, 69, ""ORG""], [73, 79, ""GPE""]]",contrastive_negative
Police located Md. Arif Khan near Mumbai-Pune Expressway.,"[[15, 28, ""PERSON""], [34, 56, ""LOC""]]",multi_entity
The team reviewed the police report before questioning Suresh Iyer.,"[[55, 66, ""PERSON""]]",hard_negative
Investigators compared the investigation report with records from BlueLine Transport.,"[[66, 84, ""ORG""]]",contrastive_negative
The suspect travelled from Kochi to Thane.,"[[27, 32, ""GPE""], [36, 41, ""GPE""]]",location_context
Suresh Iyer was observed outside Nova Components in Bengaluru.,"[[0, 11, ""PERSON""], [33, 48, ""ORG""], [52, 61, ""GPE""]]",multi_entity
Investigators compared the crime scene report with records from Prime Warehousing.,"[[64, 81, ""ORG""]]",contrastive_negative
The vehicle associated with Mohit Chawla was found near Turbhe Industrial Area.,"[[28, 40, ""PERSON""], [56, 78, ""LOC""]]",multi_entity
The station diary entry contained references to Arjun Patel and KS Electronics.,"[[48, 59, ""PERSON""], [64, 78, ""ORG""]]",contrastive_negative
Karan Sethi and Mohit Chawla met representatives of Maharashtra State Bank in Delhi.,"[[0, 11, ""PERSON""], [16, 28, ""PERSON""], [52, 74, ""ORG""], [78, 83, ""GPE""]]",complex
The team reviewed the Location Surveillance Record before questioning Arjun Patel.,"[[70, 81, ""PERSON""]]",hard_negative
Funds moved from an account linked to Priya Nair into Western Freight Solutions.,"[[38, 48, ""PERSON""], [54, 79, ""ORG""]]",multi_entity
Ayesha Khan worked with Metro Logistics Pvt Ltd in Chennai.,"[[0, 11, ""PERSON""], [24, 47, ""ORG""], [51, 58, ""GPE""]]",multi_entity
The vehicle associated with Karan Sethi was found near Bandra Kurla Complex.,"[[28, 39, ""PERSON""], [55, 75, ""LOC""]]",multi_entity
Mohit Chawla was observed outside National Freight Corporation in Ahmedabad.,"[[0, 12, ""PERSON""], [34, 62, ""ORG""], [66, 75, ""GPE""]]",multi_entity
Arjun Patel worked with Nova Components in Navi Mumbai.,"[[0, 11, ""PERSON""], [24, 39, ""ORG""], [43, 54, ""GPE""]]",multi_entity
National Freight Corporation maintained an office in Indore.,"[[0, 28, ""ORG""], [53, 59, ""GPE""]]",org_context
"According to the bank records, Mohammed Arif Khan visited Shakti Traders in Bengaluru.","[[31, 49, ""PERSON""], [58, 72, ""ORG""], [76, 85, ""GPE""]]",contrastive_negative
Rajiv Bansal transferred money to KS Electronics from Lucknow.,"[[0, 12, ""PERSON""], [34, 48, ""ORG""], [54, 61, ""GPE""]]",multi_entity
Investigators compared the police report with records from BlueLine Transport.,"[[59, 77, ""ORG""]]",contrastive_negative
Funds moved from an account linked to Rajiv Bansal into Western Freight Solutions.,"[[38, 50, ""PERSON""], [56, 81, ""ORG""]]",multi_entity
"The FIR record mentioned Suresh Iyer, Rajiv Bansal, and Shakti Traders.","[[25, 36, ""PERSON""], [38, 50, ""PERSON""], [56, 70, ""ORG""]]",complex
Funds moved from an account linked to Md. Arif Khan into DM Trading Services.,"[[38, 51, ""PERSON""], [57, 76, ""ORG""]]",multi_entity
The arrest memo contained references to Ayesha Khan and Metro Logistics Pvt Ltd.,"[[40, 51, ""PERSON""], [56, 79, ""ORG""]]",contrastive_negative
The incident report showed that Sameer Khan had contacted DM Trading Services.,"[[32, 43, ""PERSON""], [58, 77, ""ORG""]]",contrastive_negative
"According to the bank records, R K Sharma visited Western Freight Solutions in Navi Mumbai.","[[31, 41, ""PERSON""], [50, 75, ""ORG""], [79, 90, ""GPE""]]",contrastive_negative
Arjun Patel appeared in the Location Surveillance Records.,"[[0, 11, ""PERSON""]]",hard_negative
The CCTV footage showed that Suresh Iyer had contacted KS Electronics.,"[[29, 40, ""PERSON""], [55, 69, ""ORG""]]",contrastive_negative
Rajiv Bansal worked with Western Freight Solutions in Jaipur.,"[[0, 12, ""PERSON""], [25, 50, ""ORG""], [54, 60, ""GPE""]]",multi_entity
KS Electronics was named in the crime scene report reviewed by investigators.,"[[0, 14, ""ORG""]]",contrastive_negative
The team reviewed the CCTV footage before questioning Suresh Iyer.,"[[54, 65, ""PERSON""]]",hard_negative
Karan Sethi transferred money to Apex Distributors from Thane.,"[[0, 11, ""PERSON""], [33, 50, ""ORG""], [56, 61, ""GPE""]]",multi_entity
The CCTV records contained references to Arjun Patel and Shakti Traders.,"[[41, 52, ""PERSON""], [57, 71, ""ORG""]]",contrastive_negative
"According to the witness statement, R K Sharma visited Prime Warehousing in Kochi.","[[36, 46, ""PERSON""], [55, 72, ""ORG""], [76, 81, ""GPE""]]",contrastive_negative
"The Location Surveillance Records mentioned Imran Sheikh, Mohammed Arif Khan, and Shakti Traders.","[[44, 56, ""PERSON""], [58, 76, ""PERSON""], [82, 96, ""ORG""]]",complex
The vehicle associated with Ayesha Khan was found near Vashi Sector 17.,"[[28, 39, ""PERSON""], [55, 70, ""LOC""]]",multi_entity
The control room log contained references to M. A. Khan and National Freight Corporation.,"[[45, 55, ""PERSON""], [60, 88, ""ORG""]]",contrastive_negative
Investigators compared the arrest memo with records from Maharashtra State Bank.,"[[57, 79, ""ORG""]]",contrastive_negative
The suspect travelled from Nagpur to Jaipur.,"[[27, 33, ""GPE""], [37, 43, ""GPE""]]",location_context
"The FIR mentioned Mohit Chawla, M. A. Khan, and National Freight Corporation.","[[18, 30, ""PERSON""], [32, 42, ""PERSON""], [48, 76, ""ORG""]]",complex
Suresh Iyer was seen entering Bhiwandi Distribution Hub.,"[[0, 11, ""PERSON""], [30, 55, ""FAC""]]",facility_context
The consignment was moved through Ahmedabad.,"[[34, 43, ""GPE""]]",location_context
Rohan Mehta transferred money to BlueLine Transport from Delhi.,"[[0, 11, ""PERSON""], [33, 51, ""ORG""], [57, 62, ""GPE""]]",multi_entity
Ravi Deshmukh appeared in the FIR record.,"[[0, 13, ""PERSON""]]",hard_negative
Ayesha Khan was seen entering Vashi Logistics Yard.,"[[0, 11, ""PERSON""], [30, 50, ""FAC""]]",facility_context
"According to the CCTV records, Ravi Deshmukh visited City Cargo Services in Hyderabad.","[[31, 44, ""PERSON""], [53, 72, ""ORG""], [76, 85, ""GPE""]]",contrastive_negative
Arjun Patel and S. Iyer met representatives of KS Electronics in Bengaluru.,"[[0, 11, ""PERSON""], [16, 23, ""PERSON""], [47, 61, ""ORG""], [65, 74, ""GPE""]]",complex
DM Trading Services was named in the CCTV records reviewed by investigators.,"[[0, 19, ""ORG""]]",contrastive_negative
Neeraj Shah appeared in the station diary entry.,"[[0, 11, ""PERSON""]]",hard_negative
The suspect travelled from Chennai to Indore.,"[[27, 34, ""GPE""], [38, 44, ""GPE""]]",location_context
The team reviewed the financial records before questioning Md. Arif Khan.,"[[59, 72, ""PERSON""]]",hard_negative
Imran Sheikh transferred money to City Cargo Services from Hyderabad.,"[[0, 12, ""PERSON""], [34, 53, ""ORG""], [59, 68, ""GPE""]]",multi_entity
Nova Components rented space at Vashi Logistics Yard.,"[[0, 15, ""ORG""], [32, 52, ""FAC""]]",facility_context
The evidence log showed that Ayesha Khan had contacted Maharashtra State Bank.,"[[29, 40, ""PERSON""], [55, 77, ""ORG""]]",contrastive_negative
S. Iyer was seen entering Vashi Logistics Yard.,"[[0, 7, ""PERSON""], [26, 46, ""FAC""]]",facility_context
The team reviewed the case file before questioning Md. Arif Khan.,"[[51, 64, ""PERSON""]]",hard_negative
Ananya Sharma transferred money to DM Trading Services from Chennai.,"[[0, 13, ""PERSON""], [35, 54, ""ORG""], [60, 67, ""GPE""]]",multi_entity
Ravi Deshmukh met an employee of Nova Components near Bandra Kurla Complex.,"[[0, 13, ""PERSON""], [33, 48, ""ORG""], [54, 74, ""LOC""]]",multi_entity
No useful information was found in the CDR records.,[],hard_negative
Goods were stored at Andheri Commercial Complex.,"[[21, 47, ""FAC""]]",facility_context
Investigators traced the shipment from Delhi to Eastern Express Highway.,"[[39, 44, ""GPE""], [48, 71, ""LOC""]]",multi_entity
Investigators collected the FIR record for further examination.,[],hard_negative
Md. Arif Khan worked with Maharashtra State Bank in Thane.,"[[0, 13, ""PERSON""], [26, 48, ""ORG""], [52, 57, ""GPE""]]",multi_entity
The FIR mentioned Ayesha Khan.,"[[18, 29, ""PERSON""]]",hard_negative
Investigators compared the surveillance records with records from Shakti Traders.,"[[66, 80, ""ORG""]]",contrastive_negative
R K Sharma appeared in the CDR records.,"[[0, 10, ""PERSON""]]",hard_negative
